date,open,high,low,close,volume,price_change,sma_7,sma_30
2024-12-10,97441.234375,98270.15625,94321.2578125,96675.4296875,104823780634,-0.007772430783165474,98650.04464285714,94893.08020833334
2024-12-11,96656.0625,101913.359375,95747.2265625,101173.03125,85391409936,0.04652269534294651,98993.54464285714,95308.7984375
2024-12-12,101167.8046875,102524.9140625,99339.953125,100043.0,72073983533,-0.011169293200355757,99486.3203125,95711.7046875
2024-12-13,100046.6484375,101888.8046875,99233.28125,101459.2578125,56894751583,0.014156490833941326,99706.11272321429,96074.2078125
2024-12-14,101451.4375,102618.8828125,100634.0546875,101372.96875,40422968793,-0.0008504799301751742,99913.203125,96544.95911458334
2024-12-15,101373.53125,105047.5390625,101227.03125,104298.6953125,51145914137,0.02886101293644905,100350.72879464286,96986.04869791666
2024-12-16,104293.578125,107780.578125,103322.984375,106029.71875,91020417816,0.016596788984881483,101578.87165178571,97501.75677083334
2024-12-17,106030.6875,108268.4453125,105291.734375,106140.6015625,68589364868,0.001045771070669721,102931.0390625,98044.91510416666
2024-12-18,106147.296875,106470.609375,100041.5390625,100041.5390625,93865656139,-0.057462106019896764,102769.39732142857,98361.54505208334
2024-12-19,100070.6875,102748.1484375,95587.6796875,97490.953125,97221662392,-0.025495268879325628,102404.81919642857,98533.1171875
2024-12-20,97484.6953125,98098.9140625,92175.1796875,97755.9296875,105634083408,0.002717960528709318,101875.77232142857,98646.9984375
2024-12-21,97756.1953125,99507.1015625,96426.5234375,97224.7265625,51765334294,-0.005433973434635808,101283.16629464286,98604.33177083333
2024-12-22,97218.3203125,97360.265625,94202.1875,95104.9375,43147981314,-0.021802983021374844,99969.77232142857,98474.57421875
2024-12-23,95099.390625,96416.2109375,92403.1328125,94686.2421875,65239002919,-0.004402456102765462,98349.27566964286,98371.53958333333
2024-12-24,94684.34375,99404.0625,93448.015625,98676.09375,47114953674,0.04213760595334648,97282.91741071429,98393.61536458334
2024-12-25,98675.9140625,99478.75,97593.46875,99299.1953125,33700394629,0.0063146152104343045,97176.86830357143,98600.17864583334
2024-12-26,99297.6953125,99884.5703125,95137.8828125,95795.515625,47054980873,-0.03528406928650052,96934.66294642857,98727.18515625
2024-12-27,95704.9765625,97294.84375,93310.7421875,94164.859375,52419934565,-0.017022260795415023,96421.65290178571,98667.26276041666
2024-12-28,94160.1875,95525.8984375,94014.2890625,95163.9296875,24107436185,0.010609799867287384,96127.25334821429,98650.978125
2024-12-29,95174.0546875,95174.875,92881.7890625,93530.2265625,29635885267,-0.017167251608511402,95902.29464285714,98519.93489583333
2024-12-30,93527.1953125,94903.3203125,91317.1328125,92643.2109375,56188003691,-0.00948373223930199,95610.43303571429,98393.0734375
2024-12-31,92643.25,96090.6015625,91914.03125,93429.203125,43625106843,0.008484077565384274,94860.87723214286,98264.72057291666
2025-01-01,93425.1015625,94929.8671875,92788.125,94419.7578125,24519888919,0.010602195613021781,94163.81473214286,98216.53567708333
2025-01-02,94416.2890625,97739.8203125,94201.5703125,96886.875,46009564411,0.026129247147606893,94319.72321428571,98246.02604166667
2025-01-03,96881.7265625,98956.9140625,96034.6171875,98107.4296875,35611391163,0.012597729955682757,94882.94754464286,98223.98932291666
2025-01-04,98106.9921875,98734.4296875,97562.9765625,98236.2265625,22342608078,0.0013128146911018934,95321.84709821429,98278.74453125
2025-01-05,98233.90625,98813.3046875,97291.765625,98314.9609375,20525254825,0.0008014800420892421,96005.38058035714,98225.21953125
2025-01-06,98314.953125,102482.875,97926.1484375,102078.0859375,51823432705,0.03827621924594227,97353.21986607143,98297.04453125
2025-01-07,102248.8515625,102712.484375,96132.875,96922.703125,58685738547,-0.05050430525956884,97852.29129464286,98153.26744791666
2025-01-08,96924.1640625,97258.3203125,92525.84375,95043.5234375,63875859171,-0.019388436629511285,97941.40066964286,98073.62760416667
2025-01-09,95043.484375,95349.71875,91220.84375,92484.0390625,62777261693,-0.026929603222076492,97312.42410714286,97933.91458333333
2025-01-10,92494.4921875,95770.609375,92250.09375,94701.453125,62058693684,0.023976181025154863,96825.85602678571,97718.1953125
2025-01-11,94700.8359375,94977.6875,93840.046875,94566.59375,18860894100,-0.001424047578467369,96301.62276785714,97535.6484375
2025-01-12,94565.7265625,95367.5390625,93712.5078125,94488.4375,20885130965,-0.0008264678561502592,95754.9765625,97303.28776041667
2025-01-13,94488.890625,95837.0,89260.1015625,94516.5234375,72978998252,0.00029724205673309356,94674.75334821429,97074.73958333333
2025-01-14,94519.0078125,97352.6640625,94322.15625,96534.046875,53769675818,0.021345722040169157,94619.23102678571,96815.91796875
2025-01-15,96534.046875,100697.234375,96501.640625,100504.4921875,57805923627,0.041129999632577796,95399.36941964286,96631.74375
2025-01-16,100505.296875,100781.5859375,97364.4453125,99756.90625,54103781805,-0.0074383335632930425,96438.35044642857,96418.95390625
2025-01-17,100025.765625,105884.2265625,99948.90625,104462.0390625,71888972663,0.04716598568833419,97832.71986607143,96566.30390625
2025-01-18,104124.953125,104913.203125,102226.6171875,104408.0703125,50445655726,-0.000516635042589142,99238.64508928571,96796.87447916667
2025-01-19,104411.2890625,106299.796875,99570.53125,101089.609375,76789928525,-0.03178356737719257,100181.66964285714,96907.99713541666
2025-01-20,101083.75,109114.8828125,99471.359375,102016.6640625,126279678351,0.009170622908047932,101253.11830357143,97067.72838541666
2025-01-21,102052.578125,107180.921875,100103.953125,106146.265625,88733878242,0.040479676535688514,102626.29241071429,97435.77265625
2025-01-22,106136.3828125,106294.34375,103360.265625,103653.0703125,53878181052,-0.023488299826845638,103076.08928571429,97734.66692708334
2025-01-23,103657.671875,106820.328125,101257.8046875,103960.171875,104104515428,0.002962783076025932,103676.55580357143,97910.80286458334
2025-01-24,103965.671875,107098.546875,102772.125,104819.484375,52388229265,0.008265785680243276,103727.61941964286,98094.8125
2025-01-25,104824.03125,105243.7890625,104120.375,104714.6484375,23888996502,-0.0010001569662844156,103771.41629464286,98392.11692708333
2025-01-26,104713.2109375,105438.6484375,102507.7109375,102682.5,22543395879,-0.019406534499448846,103998.97209821429,98676.03828125
2025-01-27,102680.3046875,103214.109375,97795.9375,102087.6875,89006608428,-0.005792734886665207,104009.11830357143,98906.83020833334
2025-01-28,102095.4140625,103730.8203125,100238.1875,101332.4765625,47180685494,-0.007397669160641884,103321.43415178571,99166.90520833334
2025-01-29,101317.5234375,104750.8046875,101283.8203125,103703.2109375,47432049818,0.023395602825692086,103328.59709821429,99535.571875
2025-01-30,103709.3359375,106418.765625,103321.6484375,104735.3046875,41915744521,0.009952379879751394,103439.33035714286,99912.44192708333
2025-01-31,104737.5625,106026.3515625,101543.8828125,102405.0234375,45732764360,-0.022249243050878498,103094.40736607143,100178.61744791667
2025-02-01,102402.796875,102755.7265625,100297.7109375,100655.90625,27757944848,-0.017080384621634526,102514.58705357143,100304.25182291666
2025-02-02,100661.5390625,101430.6640625,96216.078125,97688.9765625,63091816853,-0.02947596219670423,101801.2265625,100290.30338541667
2025-02-03,97681.1015625,102514.171875,91242.890625,101405.421875,115400897748,0.03804365081173988,101703.76004464286,100395.94322916666
